,Ambient Temperature,Barometric Pressure,Diffuse Horizontal,Direct Normal,Global Horizontal,Global Normal,Plane of array,Relative Humidity,UV-A,UV-B,Wind Direction,Wind Speed
1/1/2022 13:15,-11.43099,814.7729,175.6659,7.745627,145.7159,623.7938,568.0974,94.69121,23.53354,0.2791952,84.51305,0.5990201
1/1/2022 13:20,-11.34591,814.6505,187.4265,11.61838,151.0624,726.349,661.5044,94.86136,25.14786,0.2935086,59.15316,0.2662312
1/1/2022 13:25,-11.09068,814.528,193.4956,11.26622,156.4086,786.71,745.8226,95.09958,26.0661,0.2997605,49.53601,0.81771
1/1/2022 13:30,-10.97207,814.5225,188.9418,14.43477,151.0605,790.6003,746.5455,94.85974,25.50287,0.2908713,356.1457,1.274084
1/1/2022 13:35,-10.98891,815.0553,170.7301,12.6744,133.6815,704.2687,659.3136,94.36687,24.1516,0.2744209,42.42986,1.064913
1/1/2022 13:40,-10.73353,814.6486,187.8026,17.60328,147.0493,835.3837,774.5278,94.58856,25.94376,0.2836356,48.06558,0.8462299
1/1/2022 13:45,-10.51225,814.5677,206.0134,21.47597,153.0647,928.2026,846.4911,94.82703,26.98425,0.288243,214.1602,0.2852468
1/1/2022 13:50,-10.22336,815.0947,165.4177,13.37847,119.6444,643.8996,552.8176,95.08106,21.19318,0.2250636,59.51974,0.4944215
1/1/2022 13:55,-10.1565,815.0004,147.9652,9.857811,110.955,536.1498,469.5856,94.89009,19.67807,0.2033388,145.0562,0.8271721
1/1/2022 14:00,-10.17526,814.5736,156.3119,12.67432,116.3022,601.0588,523.377,94.76543,19.53253,0.1967467,142.2608,0.7320518
1/1/2022 14:05,-10.27844,814.5619,117.2339,2.112387,87.56087,346.6149,287.1304,95.00009,14.86727,0.1572599,143.6642,0.2661908
1/1/2022 14:10,-10.27962,814.631,135.8244,7.745418,98.92371,455.0131,383.8097,95.16644,16.59175,0.1674521,350.5102,0.5989054
1/1/2022 14:15,-10.07765,814.5265,124.4425,9.153676,90.23447,424.5058,367.0907,95.21056,15.75028,0.1552685,72.05884,0.3897355
1/1/2022 14:20,-9.840624,815.0864,167.3133,29.57321,113.6278,754.2391,661.4857,95.41113,19.02918,0.1749995,153.6242,0.3231833
1/1/2022 14:25,-9.926096,815.2452,169.965,33.09304,114.2935,760.7119,655.6548,94.95052,18.43299,0.1664446,164.7671,0.2851577
1/1/2022 14:30,-9.926466,815.2413,180.2053,39.42933,121.6436,803.5368,681.8112,95.05142,18.32912,0.1578901,102.9476,1.03606
1/1/2022 14:35,-10.02871,815.2394,136.574,15.48979,95.57523,445.2466,366.339,94.76166,13.96884,0.1243377,118.317,0.6083252
1/1/2022 14:40,-10.07981,815.157,122.1557,10.56103,89.55843,375.1429,303.8235,95.11864,12.59931,0.1083841,107.2026,0.1235658
1/1/2022 14:45,-10.16492,815.238,114.5661,11.96894,82.87334,373.8375,304.1809,95.11844,11.94785,0.09999602,89.01552,0.8174334
1/1/2022 14:50,-10.36907,815.401,97.11433,7.040455,70.84237,275.8312,220.5918,95.10133,10.39329,0.08815429,80.35068,0.4942616
1/1/2022 14:55,-10.55619,815.4825,89.146,4.928212,65.49437,240.1302,188.2439,95.20335,9.453154,0.07812178,66.35846,0.4752513
